,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,morning,noon,evening,night
452,花に亡霊,盗作,ヨルシカ,2020-07-29,241226,60,4,1,0.646,0.573,0.45,0.0,0.0768,-6.628,0.0482,90.01,4,0.413,0,0,1,0
453,夜行,盗作,ヨルシカ,2020-07-29,202720,51,1,1,0.579,0.379,0.467,0.000158,0.158,-6.576,0.0323,170.038,4,0.484,0,0,1,0
454,Hype Boy,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,179026,88,4,0,0.593,0.268,0.935,0.0,0.286,-3.43,0.225,99.976,4,0.783,0,0,1,1
455,Cookie,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,235562,81,0,1,0.847,0.0596,0.638,0.0,0.0894,-3.764,0.0575,156.935,4,0.661,0,0,1,1
456,Attention,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,180066,87,10,0,0.811,0.236,0.648,0.0,0.0761,-3.684,0.0368,104.988,4,0.695,0,0,1,1
457,Only One For Me,Only One For Me,Takanori Iwata,2022-09-26,205466,47,10,0,0.684,0.0964,0.617,0.0,0.038,-7.421,0.0452,90.045,4,0.739,0,0,1,0
458,Rush Hour (Feat. j-hope of BTS),Rush Hour,Crush,2022-09-22,177302,84,0,1,0.738,0.157,0.714,0.0,0.31,-5.235,0.249,95.035,4,0.74,0,0,1,0
459,Yet To Come (Hyundai Ver.),Yet To Come (Hyundai Ver.),BTS,2022-09-23,223535,76,1,1,0.508,0.078,0.842,0.0,0.0858,-3.992,0.0612,86.041,4,0.44,0,0,1,0
460,Bad Decisions (with BTS & Snoop Dogg) - Instrumental,Bad Decisions (with BTS & Snoop Dogg) [Instrumental],benny blanco,2022-08-03,172714,54,0,1,0.815,0.000388,0.671,0.746,0.267,-5.059,0.073,120.023,4,0.821,0,0,1,0
461,My You (Kookie Violin Duet),My You (Kookie Violin Duet),OMJamie,2022-07-14,174976,58,9,1,0.391,0.466,0.567,3.92e-05,0.36,-9.933,0.041,144.117,4,0.238,0,0,1,0
462,Our Island (Prod. SUGA of BTS) (Original Soundtrack),Our Island (Prod. SUGA of BTS) (Original Soundtrack),BTS Island: In the SEOM,2022-07-06,200305,53,10,1,0.442,0.618,0.316,0.436,0.361,-11.829,0.0322,120.15,4,0.0697,0,0,1,0
463,CHEERS,SEVENTEEN 4th Album Repackage 'SECTOR 17',SEVENTEEN,2022-07-18,181466,76,2,1,0.74,0.306,0.848,0.0,0.193,-4.697,0.097,159.991,4,0.881,0,0,1,0
464,Answer : Love Myself,Love Yourself 結 'Answer',BTS,2018-08-24,251279,69,1,1,0.568,0.189,0.793,0.0,0.111,-3.749,0.0406,108.051,4,0.45,0,0,1,0
465,mint vacation,mint vacation / c/w Rambling Rose,THREE1989,2018-07-19,267378,38,2,1,0.69,0.0442,0.594,0.0,0.224,-5.041,0.0405,103.009,4,0.402,0,0,1,0
466,202 feat. 泉まくら - New Mix,LSC,Lovely Summer Chan,2016-11-02,330933,49,8,1,0.794,0.526,0.501,0.00111,0.0894,-8.837,0.0356,90.013,4,0.542,0,0,1,0
