name,album,artist,release_date,length,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
TOKYO NITE,MATOUSIC,竹内アンナ,2020/3/18,254200,0,0.748,0.356,0.717,0.000169,0.13,-6.577,0.161,88.96,4,0.838,evening
RIDE ON WEEKEND,MATOUSIC,竹内アンナ,2020/3/18,291833,1,0.627,0.108,0.812,0,0.365,-5.091,0.0328,118.039,4,0.717,evening
Plastic Love,Plastic Love,Friday Night Plans,2018/12/5,275891,1,0.833,0.64,0.618,0.00205,0.0969,-8.932,0.0564,103.507,4,0.863,evening
Fall in love with you in every 4AM.,LOCATION - Los Angeles,Friday Night Plans,2018/8/31,176354,1,0.816,0.0621,0.494,0.0000605,0.0999,-9.827,0.0426,116.973,4,0.336,evening
DOCUMENT,NOT IN ALMIGHTY,TENDRE,2018/10/24,280084,1,0.837,0.469,0.521,0.0476,0.116,-6.083,0.0396,112.015,4,0.699,evening
Rambling Rose,KISS,THREE1989,2019/2/13,320328,1,0.68,0.433,0.282,0.0391,0.262,-10.438,0.0377,110.895,3,0.368,evening
Week End,YELLOW DANCER,Gen Hoshino,2015/12/2,270466,1,0.715,0.0426,0.762,0.00000667,0.284,-6.9,0.0727,132.998,4,0.73,evening
7月24日,7月24日,Nubiyan Twist,2020/5/22,216346,1,0.512,0.285,0.739,0.252,0.145,-7.933,0.0709,134.77,4,0.446,evening
フラッシュバック,Champagne Royale,Masayuki Suzuki,2007/3/7,312333,0,0.67,0.35,0.663,0.000244,0.268,-6.308,0.0848,90.021,4,0.602,evening
Coaster,Sparkle,iri,2020/3/25,263026,1,0.754,0.0554,0.711,0,0.115,-5.188,0.0423,120.009,4,0.824,evening
MR.CLEVER,MR.CLEVER,I Don't Like Mondays.,2020/9/23,215677,0,0.776,0.0974,0.881,0,0.125,-3.233,0.0502,119.03,4,0.874,evening
中央フリーウェイ,14番目の月,Yumi Arai,1976/11/20,219466,0,0.637,0.209,0.675,0.00348,0.115,-8.357,0.0272,102.312,4,0.65,evening
Sweetest Berry,Criterion Of The Senses,Ed Motta,2018/9/21,225946,1,0.674,0.608,0.569,0.0000436,0.216,-9.646,0.054,170.03,4,0.826,evening
TOKYO BEAT,TOKYO BEAT,Cafe Music BGM channel,2017/11/22,221854,1,0.789,0.088,0.383,0.861,0.0696,-11.901,0.0404,89.011,4,0.71,evening
Need You Bad,CIY,SIRUP,2020/3/25,241013,0,0.672,0.033,0.632,0.00237,0.111,-6.278,0.121,175.994,4,0.898,evening
